time,04/01 (一),04/02 (二),04/03 (三),04/04 (四),04/05 (五),04/06 (六),04/07 (日),04/08 (一),04/09 (二),04/10 (三),04/11 (四),04/12 (五),04/13 (六),04/14 (日),04/15 (一),04/16 (二),04/17 (三),04/18 (四),04/19 (五),04/20 (六),04/21 (日),04/22 (一),04/23 (二),04/24 (三),04/25 (四),04/26 (五),04/27 (六),04/28 (日),04/29 (一),04/30 (二)
09:00,0,10,11,X,X,X,X,2,14,12,14,15,X,X,1,14,11,15,15,X,X,0,13,12,15,15,X,X,0,15
09:30,5,10,14,X,X,X,X,7,14,15,13,18,X,X,6,14,14,14,18,X,X,5,13,15,14,18,X,X,5,15
10:00,4,9,12,X,X,X,X,6,13,13,14,13,X,X,5,13,12,15,13,X,X,4,12,13,15,13,X,X,4,14
10:30,5,8,12,X,X,X,X,7,12,13,13,15,X,X,6,12,12,14,15,X,X,5,11,13,14,15,X,X,5,13
11:00,5,11,10,X,X,X,X,7,15,11,11,17,X,X,6,15,10,12,17,X,X,5,14,11,12,17,X,X,5,16
11:30,1,8,10,X,X,X,X,2,9,10,11,10,X,X,2,9,9,11,9,X,X,2,9,10,11,10,X,X,2,13
12:00,0,4,1,X,X,X,X,0,4,5,3,5,X,X,0,4,3,3,4,X,X,1,3,5,5,7,X,X,0,5
12:30,3,2,0,X,X,X,X,0,1,2,1,2,X,X,0,0,1,1,3,X,X,1,2,4,3,3,X,X,2,0
13:00,0,5,9,X,X,X,X,2,6,5,9,7,X,X,2,5,7,11,8,X,X,2,8,6,10,6,X,X,0,4
13:30,2,8,13,X,X,X,X,6,10,11,14,10,X,X,6,11,13,14,10,X,X,5,9,9,12,9,X,X,4,7
14:00,11,13,13,X,X,X,X,11,14,13,17,16,X,X,11,15,13,15,16,X,X,10,13,12,14,15,X,X,13,15
14:30,10,14,14,X,X,X,X,11,15,14,18,17,X,X,11,15,14,18,17,X,X,11,15,14,18,17,X,X,11,15
15:00,12,16,17,X,X,X,X,13,17,17,19,19,X,X,13,17,17,19,19,X,X,13,17,17,19,19,X,X,13,17
15:30,15,14,17,X,X,X,X,16,15,17,18,17,X,X,16,15,17,18,17,X,X,16,15,17,18,17,X,X,16,15
16:00,13,17,18,X,X,X,X,14,18,18,21,18,X,X,14,18,18,21,18,X,X,14,18,18,21,18,X,X,14,18
16:30,5,9,14,X,X,X,X,6,10,14,13,17,X,X,6,10,13,13,16,X,X,6,10,14,13,17,X,X,6,14
17:00,9,15,14,X,X,X,X,10,16,14,15,16,X,X,10,16,13,15,15,X,X,10,16,14,15,16,X,X,10,20
17:30,-1,-1,-5,X,X,X,X,0,-3,-5,-2,-4,X,X,0,-1,-4,-2,-3,X,X,-1,-3,-5,-2,-4,X,X,0,-3
18:00,0,2,0,X,X,X,X,1,0,0,0,0,X,X,1,2,1,0,1,X,X,0,0,0,0,0,X,X,1,0
18:30,0,0,0,X,X,X,X,0,0,0,0,-1,X,X,0,0,1,0,0,X,X,0,0,0,0,-1,X,X,0,-4
19:00,0,-1,0,X,X,X,X,0,-1,0,-1,-1,X,X,0,-1,1,-1,0,X,X,0,-1,0,-1,-1,X,X,0,-5
19:30,0,0,-2,X,X,X,X,0,0,-2,0,0,X,X,0,0,-1,0,1,X,X,0,0,-2,0,0,X,X,0,-4
20:00,-1,0,-1,X,X,X,X,-1,0,-1,0,-1,X,X,-1,0,0,0,0,X,X,-1,0,-1,0,-1,X,X,-1,-4
20:30,0,1,0,X,X,X,X,0,1,0,1,-1,X,X,0,1,1,1,0,X,X,0,1,0,1,-1,X,X,0,-3
