time,09/01 (日),09/02 (一),09/03 (二),09/04 (三),09/05 (四),09/06 (五),09/07 (六),09/08 (日),09/09 (一),09/10 (二),09/11 (三),09/12 (四),09/13 (五),09/14 (六),09/15 (日),09/16 (一),09/17 (二),09/18 (三),09/19 (四),09/20 (五),09/21 (六),09/22 (日),09/23 (一),09/24 (二),09/25 (三),09/26 (四),09/27 (五),09/28 (六),09/29 (日),09/30 (一)
09:00,X,0,7,7,9,4,X,X,0,9,7,5,X,X,X,0,7,6,3,2,X,X,0,8,7,9,5,X,X,0
09:30,X,4,4,2,7,9,X,X,4,6,2,3,X,X,X,4,4,1,1,7,X,X,4,5,2,7,10,X,X,4
10:00,X,0,5,6,13,7,X,X,0,7,6,9,X,X,X,0,5,5,7,5,X,X,0,6,6,13,8,X,X,0
10:30,X,2,0,0,6,3,X,X,2,2,0,2,X,X,X,2,0,-1,0,1,X,X,2,1,0,6,4,X,X,2
11:00,X,0,2,5,12,5,X,X,0,4,5,8,X,X,X,0,2,4,6,3,X,X,0,3,5,12,6,X,X,0
11:30,X,-5,-4,-1,6,1,X,X,-5,-3,0,1,X,X,X,-4,-4,0,2,1,X,X,-4,-4,1,8,1,X,X,-6
12:00,X,-7,-1,0,1,-1,X,X,-6,-2,0,0,X,X,X,-7,-3,-1,-1,0,X,X,-6,-3,0,0,0,X,X,-6
12:30,X,0,5,3,0,2,X,X,-1,2,2,2,X,X,X,-1,3,0,1,0,X,X,0,3,0,0,2,X,X,0
13:00,X,0,-1,0,0,2,X,X,0,0,2,0,X,X,X,0,0,0,0,0,X,X,0,0,0,0,2,X,X,0
13:30,X,-4,0,6,4,5,X,X,-1,8,8,7,X,X,X,-4,4,6,5,5,X,X,-3,4,7,2,7,X,X,-1
14:00,X,3,5,10,6,11,X,X,4,11,10,7,X,X,X,3,8,9,6,10,X,X,4,8,10,7,12,X,X,4
14:30,X,7,10,13,10,12,X,X,8,13,14,10,X,X,X,7,11,12,9,11,X,X,8,11,13,10,13,X,X,8
15:00,X,4,9,13,12,11,X,X,5,12,14,12,X,X,X,4,10,12,11,10,X,X,5,10,13,12,12,X,X,5
15:30,X,7,10,12,14,13,X,X,8,13,13,14,X,X,X,7,11,11,13,12,X,X,8,11,12,14,14,X,X,8
16:00,X,6,9,10,15,12,X,X,7,12,11,15,X,X,X,6,10,9,14,11,X,X,7,10,10,15,13,X,X,7
16:30,X,-1,0,4,7,4,X,X,-1,1,5,2,X,X,X,0,0,5,3,4,X,X,0,0,6,9,4,X,X,-2
17:00,X,7,4,6,12,8,X,X,7,5,7,7,X,X,X,8,4,7,8,8,X,X,8,4,8,14,8,X,X,6
17:30,X,-5,-4,-4,-9,-4,X,X,-4,-2,-4,-4,X,X,X,-6,-3,-6,-6,-5,X,X,-5,-3,-6,-11,-3,X,X,-3
18:00,X,-2,0,0,-6,-3,X,X,-1,2,0,-1,X,X,X,-3,1,-2,-3,-4,X,X,-2,1,-2,-8,-2,X,X,0
18:30,X,1,-1,2,-4,1,X,X,2,1,2,1,X,X,X,0,0,0,-1,0,X,X,1,0,0,-6,2,X,X,3
19:00,X,0,-2,2,-4,2,X,X,1,0,2,1,X,X,X,-1,-1,0,-1,1,X,X,0,-1,0,-6,3,X,X,2
19:30,X,-1,-2,3,-4,1,X,X,0,0,3,1,X,X,X,-2,-1,1,-1,0,X,X,-1,-1,1,-6,2,X,X,1
20:00,X,-1,0,0,-5,0,X,X,0,2,0,0,X,X,X,-2,1,-2,-2,-1,X,X,-1,1,-2,-7,1,X,X,1
20:30,X,2,1,3,-4,5,X,X,3,3,3,1,X,X,X,1,2,1,-1,4,X,X,2,2,1,-6,6,X,X,4
