time,06/01 (六),06/02 (日),06/03 (一),06/04 (二),06/05 (三),06/06 (四),06/07 (五),06/08 (六),06/09 (日),06/10 (一),06/11 (二),06/12 (三),06/13 (四),06/14 (五),06/15 (六),06/16 (日),06/17 (一),06/18 (二),06/19 (三),06/20 (四),06/21 (五),06/22 (六),06/23 (日),06/24 (一),06/25 (二),06/26 (三),06/27 (四),06/28 (五),06/29 (六),06/30 (日)
09:00,X,X,0,4,3,5,X,X,X,-2,4,3,6,7,X,X,0,4,1,5,7,X,X,0,5,2,7,5,X,X
09:30,X,X,6,6,11,5,X,X,X,4,6,11,6,7,X,X,6,6,9,5,7,X,X,6,7,10,7,5,X,X
10:00,X,X,3,6,2,4,X,X,X,1,6,2,5,9,X,X,3,6,0,4,9,X,X,3,7,1,6,7,X,X
10:30,X,X,1,6,2,6,X,X,X,-1,6,2,7,7,X,X,1,6,0,6,7,X,X,1,7,1,8,5,X,X
11:00,X,X,3,8,8,5,X,X,X,1,8,8,6,7,X,X,3,8,6,5,7,X,X,3,9,7,7,5,X,X
11:30,X,X,-9,2,0,-1,X,X,X,-8,3,0,3,5,X,X,-6,2,-2,-1,6,X,X,-6,4,0,0,3,X,X
12:00,X,X,-5,-2,-1,1,X,X,X,-5,-2,-1,2,0,X,X,-2,-1,0,0,3,X,X,-4,-1,-3,0,0,X,X
12:30,X,X,-1,2,2,0,X,X,X,-3,3,4,6,0,X,X,-2,2,2,1,-1,X,X,-1,2,0,0,0,X,X
13:00,X,X,0,0,0,0,X,X,X,0,0,0,2,2,X,X,-1,0,0,1,0,X,X,0,2,0,2,0,X,X
13:30,X,X,0,4,5,10,X,X,X,-1,2,1,4,2,X,X,-2,2,3,9,-2,X,X,-1,4,3,11,-2,X,X
14:00,X,X,2,8,10,6,X,X,X,0,8,8,7,11,X,X,0,5,5,6,6,X,X,3,7,8,7,7,X,X
14:30,X,X,10,10,10,15,X,X,X,9,10,9,17,12,X,X,10,9,8,15,10,X,X,11,11,8,16,9,X,X
15:00,X,X,5,15,13,11,X,X,X,4,15,12,13,13,X,X,5,14,11,11,11,X,X,6,16,11,12,10,X,X
15:30,X,X,11,14,9,15,X,X,X,10,14,8,17,16,X,X,11,13,7,15,14,X,X,12,15,7,16,13,X,X
16:00,X,X,10,15,11,13,X,X,X,9,15,10,15,13,X,X,10,14,9,13,11,X,X,11,16,9,14,10,X,X
16:30,X,X,-3,1,0,3,X,X,X,-2,2,0,7,6,X,X,0,1,-2,3,7,X,X,0,3,0,4,4,X,X
17:00,X,X,5,8,7,9,X,X,X,6,9,7,13,14,X,X,8,8,5,9,15,X,X,8,10,7,10,12,X,X
17:30,X,X,-6,-5,-5,-4,X,X,X,-8,-6,-6,-6,-4,X,X,-9,-6,-5,-4,-7,X,X,-8,-6,-7,-4,-5,X,X
18:00,X,X,-1,-2,0,0,X,X,X,-3,-3,-1,-2,-2,X,X,-4,-3,0,0,-5,X,X,-3,-3,-2,0,-3,X,X
18:30,X,X,1,1,-1,0,X,X,X,-1,0,-2,-2,0,X,X,-2,0,-1,0,-3,X,X,-1,0,-3,0,-1,X,X
19:00,X,X,0,2,2,2,X,X,X,-2,1,1,0,0,X,X,-3,1,2,2,-3,X,X,-2,1,0,2,-1,X,X
19:30,X,X,2,1,0,3,X,X,X,0,0,-1,1,3,X,X,-1,0,0,3,0,X,X,0,0,-2,3,2,X,X
20:00,X,X,2,2,1,0,X,X,X,0,1,0,-2,2,X,X,-1,1,1,0,-1,X,X,0,1,-1,0,1,X,X
20:30,X,X,3,3,3,3,X,X,X,1,2,2,1,2,X,X,0,2,3,3,-1,X,X,1,2,1,3,1,X,X
